Universidade;Estado;Ranking;"Pública ou Privada";"Posição em Ensino";"Nota em Ensino";"Posição em Pesquisa";"Nota em Pesquisa";"Posição em Mercado";"Nota em Mercado";"Posição em Inovação";"Nota em Inovação";"Posição em Internacionalização";"Nota em Internacionalização";Nota
"Universidade Estadual do Norte do Paraná";PR;167;Estadual;161;9.16;160;9.61;133;6.12;145;0.85;176;0.76;26.5
"Universidade Estadual do Rio Grande do Sul";RS;168;Estadual;158;10.78;154;10.78;189;1.08;71;1.86;113;1.78;26.28
"Universidade Metropolitana de Santos";SP;169;Privada;168;7.57;157;10.12;157;3.96;69;1.88;79;2.34;25.87
"Universidade Brasil";SP;170;Privada;199;1.08;111;18.77;172;2.61;121;1.2;89;2.19;25.85
"Universidade de Itaúna";MG;171;Privada;146;12.18;190;4.69;133;6.12;153;0.62;148;1.18;24.79
"Universidade Federal de Jataí";GO;172;Federal;162;8.61;153;11.18;172;2.61;115;1.26;160;1.08;24.74
"Universidade da Amazônia";PA;173;Privada;179;5.99;197;3.25;58;12.87;125;1.12;170;0.91;24.14
"Universidade Castelo Branco";RJ;173;Privada;153;11.25;199;2.78;116;7.65;157;0.54;107;1.92;24.14
"Universidade Federal do Delta do Parnaíba";PI;175;Federal;141;12.5;163;9.29;189;1.08;179;0.15;157;1.09;24.11
"Universidade Salgado de Oliveira";RJ;176;Privada;200;0.83;166;8.98;58;12.87;;;142;1.34;24.02
"Universidade Católica de Petrópolis";RJ;177;Privada;117;13.92;192;3.59;133;6.12;;;193;0.3;23.93
"Universidade Anhanguera";MS;178;Privada;176;6.19;179;6.79;95;9.54;128;1.1;196;0.29;23.91
"Universidade de Vassouras";RJ;179;Privada;116;14.1;195;3.35;157;3.96;133;1.02;139;1.37;23.8
"Universidade Católica do Salvador";BA;180;Privada;173;6.57;188;5.34;77;11.16;;;182;0.65;23.72
"Universidade Municipal de São Caetano do Sul";SP;181;Municipal;133;12.99;187;5.38;157;3.96;;;150;1.16;23.49
"Universidade do Vale do Sapucaí";MG;182;Privada;174;6.33;164;9.28;133;6.12;138;0.92;185;0.6;23.25
"Universidade Federal do Agreste de Pernambuco";PE;183;Federal;155;11.13;176;7.73;;;90;1.66;141;1.36;21.88
"Universidade Federal de Catalão";GO;184;Federal;137;12.74;183;5.99;189;1.08;153;0.62;162;1.01;21.44
"Universidade Anhanguera de São Paulo";SP;185;Privada;198;1.29;167;8.94;116;7.65;138;0.92;126;1.62;20.42
"Universidade Estadual do Tocantins";TO;186;Estadual;119;13.88;196;3.33;172;2.61;171;0.34;203;0.03;20.19
"Universidade de Cruz Alta";RS;187;Privada;177;6.17;177;7.41;157;3.96;96;1.56;189;0.45;19.55
"Universidade Iguaçu";RJ;188;Privada;196;1.42;168;8.64;133;6.12;;;82;2.3;18.48
"Universidade do Planalto Catarinense";SC;189;Privada;197;1.32;180;6.36;95;9.54;153;0.62;197;0.26;18.1
"Universidade Nilton Lins";AM;190;Privada;203;0.57;170;8.09;116;7.65;181;0.13;139;1.37;17.81
"Universidade de Rio Verde";GO;191;Municipal;191;2.82;189;5.11;133;6.12;82;1.75;178;0.75;16.55
"Universidade Vale do Rio Doce";MG;192;Privada;188;4.89;200;2.03;116;7.65;97;1.55;201;0.17;16.29
"Universidade do Estado do Amapá";AP;193;Estadual;182;5.77;171;8.03;189;1.08;175;0.28;181;0.7;15.86
